maybe, definitely_not, false_positive
38 , 18541 , 28
213 , 18058 , 197
62 , 18356 , 51
150 , 18131 , 125
150 , 18042 , 130
151 , 17254 , 35
82 , 18539 , 75
191 , 18444 , 187
62 , 18648 , 60
126 , 18571 , 124
184 , 17763 , 160
124 , 18572 , 122
11 , 18255 , 0
2 , 18552 , 0
2 , 18580 , 0
20 , 18676 , 18
159 , 18332 , 155
279 , 18318 , 275
53 , 18297 , 45
56 , 18663 , 53
55 , 18299 , 53
1307 , 17345 , 1304
229 , 17584 , 196
68 , 17190 , 16
35 , 18590 , 31
344 , 17279 , 297
49 , 18674 , 47
129 , 16830 , 9
30 , 18473 , 20
92 , 17570 , 56
63 , 17771 , 34
3 , 18553 , 1
23 , 18296 , 19
139 , 18077 , 121
121 , 18591 , 118
113 , 18430 , 107
27 , 18621 , 22
2 , 18671 , 0
16 , 18529 , 12
2 , 18692 , 0
1 , 18758 , 0
2 , 18718 , 0
2 , 18757 , 1
1 , 18758 , 0
36 , 18610 , 34
208 , 17924 , 205
20 , 18538 , 18
90 , 16557 , 72
41 , 16354 , 16
71 , 16900 , 31
31 , 18689 , 29
29 , 18659 , 23
34 , 18571 , 26
200 , 17540 , 171
49 , 18238 , 45
45 , 18106 , 24
123 , 17551 , 81
264 , 17013 , 145
41 , 18088 , 19
64 , 18196 , 37
36 , 18327 , 30
144 , 17842 , 108
205 , 17129 , 23
17 , 18418 , 7
140 , 17255 , 66
108 , 17324 , 17
249 , 18389 , 247
134 , 18244 , 126
228 , 18302 , 222
55 , 18409 , 44
35 , 18620 , 29
3271 , 15277 , 3262
81 , 18362 , 68
640 , 18196 , 637
42 , 18351 , 29
71 , 18426 , 15
121 , 18298 , 119
99 , 18122 , 86
63 , 18103 , 27
16 , 18332 , 14
194 , 17139 , 175
127 , 17648 , 93
213 , 17609 , 195
51 , 17820 , 37
1316 , 16200 , 1305
2207 , 16335 , 2196
244 , 18274 , 242
21 , 17462 , 10
251 , 17208 , 166
78 , 18028 , 49
331 , 16729 , 157
187 , 16337 , 100
122 , 18462 , 33
56 , 18450 , 39
253 , 17279 , 237
805 , 15877 , 769
74 , 17750 , 49
572 , 17856 , 564
242 , 16666 , 127
71 , 17665 , 23
295 , 18319 , 293
142 , 17706 , 135
155 , 18507 , 149
110 , 18032 , 107
31 , 17934 , 19
45 , 18380 , 39
57 , 17443 , 33
114 , 16159 , 30
243 , 18407 , 237
1667 , 16598 , 1642
205 , 18422 , 191
575 , 18515 , 573
150 , 18438 , 142
51 , 18304 , 18
731 , 17853 , 729
68 , 17627 , 63
223 , 16474 , 161
144 , 18412 , 138
28 , 18355 , 16
71 , 18526 , 69
47 , 18242 , 31
1161 , 16930 , 1104
259 , 17643 , 214
292 , 17682 , 288
64 , 17452 , 18
30 , 18519 , 25
79 , 17990 , 64
201 , 17219 , 191
137 , 17047 , 71
33 , 18309 , 10
59 , 18567 , 54
58 , 18520 , 54
257 , 18336 , 245
85 , 17905 , 80
128 , 17573 , 22
178 , 17931 , 161
62 , 18449 , 54
1175 , 17462 , 1166
265 , 17994 , 236
57 , 18538 , 41
204 , 17131 , 172
404 , 18031 , 352
121 , 18457 , 58
65 , 18136 , 48
45 , 18061 , 24
1528 , 15751 , 1512
35 , 18091 , 7
74 , 17208 , 68
137 , 18449 , 130
39 , 18326 , 35
42 , 18408 , 32
35 , 17415 , 10
202 , 18381 , 192
75 , 18249 , 37
23 , 17931 , 7
70 , 18656 , 67
186 , 17908 , 167
181 , 16890 , 94
21 , 18692 , 18
57 , 18603 , 49
68 , 18552 , 48
146 , 18031 , 121
53 , 18558 , 44
38 , 17136 , 12
93 , 18520 , 89
36 , 18287 , 30
77 , 18246 , 71
74 , 16814 , 55
42 , 17795 , 27
38 , 18285 , 32
146 , 16774 , 130
1435 , 16911 , 1429
189 , 18002 , 127
3 , 18615 , 0
74 , 18648 , 72
161 , 18153 , 130
89 , 17996 , 23
93 , 18163 , 75
54 , 18331 , 42
184 , 18467 , 182
95 , 18467 , 91
737 , 17550 , 680
64 , 18503 , 52
66 , 18611 , 62
42 , 18778 , 30
137 , 18322 , 125
37 , 18037 , 27
55 , 18574 , 53
41 , 18588 , 39
173 , 18162 , 163
659 , 17386 , 647
63 , 18566 , 61
61 , 18536 , 57
79 , 18509 , 69
630 , 17750 , 623
254 , 18317 , 244
225 , 16878 , 88
70 , 16661 , 55
147 , 18410 , 141
11 , 18752 , 9
655 , 17669 , 646
41 , 18389 , 33
151 , 18479 , 144
85 , 17496 , 50
33 , 17537 , 24
3 , 18218 , 0
71 , 18013 , 54
203 , 17608 , 185
850 , 17211 , 831
2415 , 16322 , 2413
105 , 18151 , 90
281 , 18407 , 217
138 , 18643 , 78
109 , 18570 , 105
28 , 18599 , 20
643 , 18102 , 639
239 , 17978 , 219
23 , 18665 , 21
39 , 18495 , 32
75 , 17623 , 69
63 , 18423 , 15
84 , 18489 , 76
31 , 17984 , 15
47 , 18419 , 36
85 , 18216 , 51
61 , 18428 , 54
40 , 18544 , 36
24 , 18320 , 9
261 , 17610 , 246
42 , 16203 , 23
380 , 16410 , 342
572 , 17466 , 546
173 , 18516 , 171
146 , 17187 , 129
1539 , 17082 , 1533
126 , 17619 , 79
582 , 18018 , 578
78 , 18518 , 75
435 , 17992 , 420
36 , 18258 , 24
90 , 17337 , 68
245 , 16798 , 143
42 , 18170 , 35
390 , 18286 , 387
40 , 17106 , 25
180 , 18209 , 18
3 , 18603 , 1
2 , 18604 , 0
4 , 18602 , 2
2 , 18604 , 0
9 , 18597 , 7
2 , 18604 , 0
2 , 18604 , 0
3 , 18603 , 1
2 , 18604 , 0
2 , 18604 , 0
9 , 18597 , 7
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
4 , 18602 , 2
2 , 18604 , 0
11 , 18595 , 9
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
16 , 18590 , 14
2 , 18604 , 0
16 , 18590 , 14
9 , 18597 , 7
3 , 18603 , 1
4 , 18602 , 2
2 , 18604 , 0
2 , 18604 , 0
6 , 18600 , 4
3 , 18603 , 1
5 , 18601 , 3
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
14 , 18592 , 12
7 , 18599 , 5
2 , 18604 , 0
7 , 18599 , 5
2 , 18604 , 0
3 , 18603 , 1
3 , 18603 , 1
4 , 18602 , 2
2 , 18604 , 0
2 , 18604 , 0
4 , 18602 , 2
3 , 18603 , 1
5 , 18601 , 3
3 , 18603 , 1
7 , 18599 , 5
8 , 18598 , 6
2 , 18604 , 0
3 , 18603 , 1
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
4 , 18602 , 2
2 , 18604 , 0
2 , 18604 , 0
7 , 18599 , 5
2 , 18604 , 0
2 , 18604 , 0
2 , 18604 , 0
121 , 18168 , 96
6 , 18597 , 1
3 , 18668 , 0
4 , 18667 , 1
3 , 18668 , 0
3 , 18668 , 0
1 , 18758 , 0
3 , 18668 , 0
1 , 18758 , 0
5 , 18754 , 4
3 , 18668 , 0
3 , 18668 , 0
3 , 18668 , 0
3 , 18668 , 0
3 , 18668 , 0
5 , 18598 , 0
7 , 18664 , 4
3 , 18668 , 0
4 , 18667 , 1
3 , 18668 , 0
9 , 18750 , 8
4 , 18667 , 1
1 , 18758 , 0
1 , 18758 , 0
3 , 18668 , 0
3 , 18668 , 0
6 , 18665 , 3
3 , 18668 , 0
3 , 18668 , 0
3 , 18668 , 0
7 , 18620 , 0
10 , 18617 , 3
5 , 18660 , 0
5 , 18660 , 0
13 , 18658 , 10
4 , 18667 , 1
5 , 18660 , 0
5 , 18660 , 0
5 , 18660 , 0
5 , 18660 , 0
4 , 18667 , 1
9 , 18618 , 2
9 , 18618 , 2
7 , 18658 , 2
6 , 18659 , 1
6 , 18665 , 3
4 , 18667 , 1
6 , 18659 , 1
5 , 18660 , 0
5 , 18660 , 0
5 , 18660 , 0
3 , 18668 , 0
3 , 18668 , 0
6 , 18627 , 1
5 , 18628 , 0
9 , 18618 , 1
8 , 18619 , 0
3 , 18668 , 0
3 , 18668 , 0
9 , 18618 , 1
8 , 18619 , 0
8 , 18619 , 0
8 , 18619 , 0
3 , 18668 , 0
4 , 18667 , 1
74 , 17825 , 58
28 , 18704 , 25
147 , 17552 , 85
39 , 18346 , 30
211 , 17610 , 47
131 , 17620 , 118
20 , 18588 , 18
1494 , 17161 , 1486
203 , 17145 , 62
58 , 16989 , 15
82 , 18399 , 58
94 , 18561 , 87
70 , 18622 , 66
215 , 18421 , 77
10 , 18625 , 6
64 , 18141 , 58
70 , 18631 , 68
676 , 16763 , 654
28 , 18596 , 22
58 , 17943 , 48
63 , 16523 , 50
34 , 18730 , 15
187 , 18543 , 181
1609 , 16772 , 1581
175 , 16683 , 102
208 , 18172 , 174
89 , 18501 , 85
43 , 18579 , 35
64 , 18541 , 59
48 , 18580 , 46
2 , 18721 , 0
159 , 18041 , 106
136 , 18183 , 44
52 , 18358 , 33
227 , 18349 , 221
1153 , 17476 , 1149
111 , 18303 , 104
85 , 16786 , 74
22 , 18517 , 15
99 , 18382 , 97
64 , 16834 , 13
527 , 17894 , 518
20 , 17975 , 13
45 , 17041 , 36
65 , 18602 , 62
215 , 18254 , 198
139 , 16903 , 91
49 , 18528 , 21
781 , 17172 , 726
89 , 18576 , 74
227 , 18387 , 131
77 , 18620 , 75
48 , 16281 , 10
2 , 18704 , 0
35 , 18172 , 0
5 , 18388 , 0
2 , 18432 , 0
2 , 18432 , 0
2 , 18432 , 0
2 , 18432 , 0
3 , 18431 , 1
3 , 18431 , 1
3 , 18431 , 1
3 , 18431 , 0
2 , 18432 , 0
3 , 18431 , 1
2 , 18432 , 0
4 , 18574 , 2
4 , 18574 , 2
2 , 18650 , 0
4 , 18648 , 2
4 , 18721 , 2
4 , 18721 , 2
2 , 18349 , 0
2 , 18632 , 0
3 , 18631 , 1
2 , 18632 , 0
2 , 18632 , 0
4 , 18700 , 0
4 , 18700 , 0
4 , 18430 , 2
3 , 18721 , 1
2 , 18432 , 0
3 , 18743 , 0
5 , 18606 , 1
2 , 18773 , 0
3 , 18750 , 1
3 , 18750 , 1
4 , 18616 , 0
8 , 18852 , 1
3 , 18876 , 1
4 , 18862 , 0
4 , 18862 , 0
4 , 18862 , 0
1 , 18758 , 0
2 , 18742 , 0
4 , 18740 , 2
2 , 18723 , 0
2 , 18723 , 0
7 , 18344 , 5
2 , 18632 , 0
2 , 18632 , 0
2 , 18632 , 0
6 , 18541 , 0
2 , 18715 , 0
4 , 18713 , 1
2 , 18432 , 0
2 , 18722 , 0
2 , 18432 , 0
1 , 18758 , 0
4 , 18620 , 2
3 , 18772 , 1
6 , 18747 , 4
2 , 18751 , 0
2 , 18631 , 0
2 , 18877 , 0
2 , 18877 , 0
2 , 18877 , 0
3 , 18876 , 1
2 , 18877 , 0
78 , 17998 , 21
2 , 18759 , 0
2 , 18759 , 0
2 , 18723 , 0
2 , 18723 , 0
2 , 18349 , 0
3 , 18631 , 1
2 , 18632 , 0
2 , 18632 , 0
2 , 18632 , 0
2 , 18715 , 0
3 , 18714 , 0
2 , 18432 , 0
2 , 18722 , 0
5 , 18330 , 0
1 , 18758 , 0
2 , 18622 , 0
2 , 18773 , 0
2 , 18751 , 0
2 , 18751 , 0
2 , 18631 , 0
2 , 18877 , 0
3 , 18876 , 1
2 , 18877 , 0
2 , 18877 , 0
3 , 18876 , 0
3 , 18744 , 1
2 , 18432 , 0
2 , 18650 , 0
2 , 18650 , 0
13 , 18565 , 11
3 , 18575 , 1
3 , 18703 , 1
2 , 18704 , 0
29 , 18559 , 27
4 , 18593 , 2
3 , 18588 , 1
1042 , 16129 , 1010
2 , 18601 , 0
58 , 17864 , 34
58 , 18192 , 53
83 , 18287 , 69
396 , 17566 , 268
2 , 18728 , 0
2 , 18666 , 0
2 , 18678 , 0
35 , 17955 , 21
67 , 18442 , 65
47 , 18343 , 43
2 , 18507 , 0
2 , 18507 , 0
2 , 18507 , 0
212 , 18363 , 207
349 , 17297 , 335
2976 , 15524 , 2970
12 , 18748 , 10
84 , 18676 , 82
63 , 18696 , 62
16 , 18683 , 14
35 , 18664 , 33
263 , 18497 , 261
14 , 18746 , 12
452 , 18308 , 450
3 , 18757 , 1
6 , 18754 , 4
7 , 18753 , 5
9 , 18751 , 7
3 , 18757 , 1
165 , 18489 , 156
95 , 18571 , 89
59 , 18629 , 43
191 , 17274 , 177
21 , 18533 , 15
57 , 17869 , 40
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
2 , 18736 , 0
58 , 17092 , 11
3 , 18444 , 0
34 , 17975 , 19
37 , 17677 , 24
136 , 16661 , 116
64 , 16791 , 52
81 , 18621 , 79
154 , 16404 , 80
90 , 18517 , 74
53 , 18439 , 19
285 , 17620 , 144
419 , 16284 , 368
113 , 17249 , 35
59 , 18640 , 54
65 , 18346 , 61
96 , 18270 , 60
146 , 16578 , 39
32 , 17776 , 29
43 , 18079 , 37
15 , 18683 , 13
26 , 17358 , 18
2 , 18650 , 0
0 , 18759 , 0
145 , 18614 , 145
0 , 18759 , 0
107 , 18652 , 107
0 , 18759 , 0
1687 , 17072 , 1687
0 , 18759 , 0
60 , 18699 , 60
38 , 18614 , 36
2 , 18650 , 0
2 , 18642 , 0
0 , 18759 , 0
145 , 18614 , 145
0 , 18759 , 0
107 , 18652 , 107
0 , 18759 , 0
1687 , 17072 , 1687
0 , 18759 , 0
60 , 18699 , 60
7 , 18645 , 5
2 , 18642 , 0
3 , 18649 , 1
127 , 17727 , 115
3 , 18756 , 3
145 , 18614 , 145
3 , 18756 , 3
107 , 18652 , 107
3 , 18756 , 3
