maybe, definitely_not, false_positive
7 , 59458 , 1
8 , 59291 , 0
8 , 59407 , 0
13 , 58766 , 0
13 , 59696 , 0
10 , 58918 , 0
5 , 59477 , 1
10 , 58559 , 0
7 , 59394 , 1
4 , 59570 , 0
6 , 59296 , 0
4 , 59570 , 0
6 , 59296 , 0
4 , 59544 , 0
11 , 59778 , 1
2 , 59818 , 0
10 , 59683 , 0
2 , 59818 , 0
4 , 59544 , 0
2 , 59818 , 0
5 , 59569 , 1
6 , 60254 , 0
3 , 60000 , 0
52 , 61418 , 1
11 , 60667 , 0
5 , 60198 , 0
16 , 60991 , 2
26 , 61046 , 1
3 , 60255 , 1
16 , 60582 , 6
4 , 60058 , 0
5 , 60125 , 0
5 , 60125 , 0
3 , 59910 , 1
4 , 59954 , 0
3 , 59910 , 0
3 , 59898 , 0
25 , 60890 , 0
4 , 59954 , 0
5 , 60319 , 0
12 , 60250 , 0
12 , 60177 , 0
13 , 60428 , 0
12 , 60361 , 0
11 , 60419 , 0
17 , 60875 , 0
7 , 60289 , 1
7 , 60051 , 0
17 , 60802 , 0
15 , 60283 , 0
6 , 60180 , 1
5 , 60227 , 0
21 , 61183 , 3
15 , 60402 , 2
15 , 60853 , 0
7 , 60232 , 0
14 , 60655 , 1
8 , 60376 , 1
12 , 60513 , 0
14 , 60934 , 0
3 , 60101 , 0
8 , 60496 , 0
3 , 60070 , 0
3 , 60101 , 0
3 , 60101 , 0
7 , 60282 , 0
7 , 60247 , 0
13 , 60674 , 1
5 , 60409 , 0
3 , 60070 , 0
2 , 60256 , 0
10 , 60905 , 0
3 , 60101 , 0
15 , 60768 , 1
5 , 60130 , 0
2 , 60103 , 0
23 , 60003 , 0
9 , 60108 , 0
4 , 59732 , 0
2 , 59521 , 0
11 , 59204 , 0
15 , 58748 , 0
2 , 59521 , 0
2 , 59521 , 0
2 , 59521 , 0
2 , 59521 , 0
2 , 59521 , 0
2 , 59521 , 0
4 , 59270 , 0
2 , 59521 , 0
2 , 59521 , 0
17 , 59021 , 0
4 , 59392 , 0
3 , 59882 , 1
8 , 59373 , 0
4 , 59651 , 0
2 , 59615 , 0
9 , 58761 , 0
4 , 59460 , 0
4 , 59427 , 0
4 , 59427 , 0
3 , 59640 , 0
7 , 59622 , 0
5 , 59624 , 0
5 , 59511 , 0
3 , 59640 , 0
3 , 59640 , 0
10 , 59217 , 0
4 , 59521 , 0
9 , 59339 , 1
15 , 59249 , 0
6 , 59509 , 0
4 , 59392 , 0
95 , 57139 , 3
3 , 59493 , 1
15 , 58376 , 1
6 , 59471 , 0
2 , 59615 , 0
2 , 55306 , 0
7 , 55279 , 0
5 , 55280 , 0
4 , 55177 , 0
2 , 55306 , 0
2 , 59876 , 0
4 , 59924 , 0
8 , 59748 , 0
5 , 59793 , 0
4 , 59731 , 0
2 , 59904 , 0
6 , 59676 , 0
7 , 59569 , 0
2 , 59832 , 0
9 , 59721 , 0
6 , 59570 , 0
6 , 59617 , 0
16 , 59708 , 0
4 , 59572 , 0
10 , 59386 , 0
6 , 59462 , 0
14 , 59699 , 2
7 , 59505 , 0
4 , 59703 , 0
2 , 59832 , 0
2 , 59832 , 0
5 , 59622 , 0
7 , 59620 , 0
8 , 59619 , 0
6 , 59621 , 0
7 , 59620 , 5
2 , 59625 , 0
2 , 59625 , 0
3 , 59624 , 0
4 , 59623 , 0
3 , 59624 , 1
3 , 59624 , 0
3 , 59624 , 0
5 , 59676 , 0
11 , 59317 , 1
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
4 , 59692 , 0
6 , 59563 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
4 , 59692 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
6 , 59644 , 0
9 , 59671 , 0
6 , 59644 , 0
9 , 59588 , 0
6 , 59644 , 0
12 , 59316 , 0
4 , 59692 , 0
6 , 59563 , 0
6 , 59563 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
4 , 59692 , 0
47 , 58080 , 0
15 , 59287 , 0
7 , 59527 , 0
16 , 59049 , 0
20 , 58798 , 0
6 , 59675 , 1
9 , 59375 , 0
7 , 59475 , 0
25 , 58709 , 0
18 , 59161 , 0
37 , 58446 , 0
5 , 59655 , 1
39 , 58276 , 0
