maybe, definitely_not, false_positive
51 , 52362 , 1
26 , 58267 , 1
40 , 61069 , 0
45 , 58569 , 8
94 , 57369 , 14
7 , 59411 , 1
123 , 56390 , 57
93 , 62911 , 19
151 , 59515 , 142
11 , 59344 , 6
17 , 59835 , 15
4 , 59571 , 0
33 , 58864 , 6
82 , 56915 , 4
4 , 59502 , 1
101 , 60073 , 96
8 , 59658 , 1
17 , 60670 , 0
98 , 57192 , 2
26 , 59397 , 18
8 , 60171 , 0
32 , 60262 , 0
11 , 57179 , 0
67 , 61003 , 0
3 , 59713 , 0
156 , 54259 , 4
18 , 59444 , 7
77 , 58999 , 47
5 , 59764 , 0
10 , 59660 , 2
99 , 57080 , 7
24 , 59097 , 16
20 , 62013 , 1
9 , 59915 , 6
23 , 59499 , 4
12 , 59618 , 1
12 , 59196 , 0
2 , 59769 , 0
8 , 59698 , 6
31 , 58554 , 8
18 , 59098 , 6
2 , 60065 , 2
114 , 59689 , 85
7 , 59514 , 1
6 , 60004 , 0
11 , 59622 , 7
6 , 59924 , 2
36 , 59328 , 1
190 , 54209 , 1
11 , 58860 , 1
12 , 59778 , 4
45 , 57929 , 9
48 , 56504 , 3
5 , 59579 , 2
73 , 59044 , 4
105 , 56473 , 5
65 , 59119 , 53
21 , 59906 , 4
13 , 59444 , 2
36 , 58190 , 1
22 , 59226 , 1
32 , 58710 , 0
57 , 57747 , 5
140 , 62758 , 3
76 , 56144 , 1
7 , 59524 , 2
79 , 58541 , 24
3 , 59572 , 0
13 , 58760 , 4
229 , 54531 , 119
17 , 59329 , 11
7 , 59597 , 0
43 , 58571 , 6
96 , 56067 , 51
4 , 59021 , 1
115 , 58499 , 77
4 , 59902 , 1
65 , 61286 , 20
9 , 58759 , 0
55 , 59982 , 3
13 , 60265 , 0
15 , 58574 , 1
72 , 53485 , 1
5 , 59393 , 0
15 , 60714 , 2
8 , 44903 , 1
45 , 58724 , 9
38 , 59458 , 2
20 , 61439 , 0
84 , 58948 , 50
54 , 56383 , 4
20 , 59245 , 1
29 , 59438 , 4
28 , 59711 , 26
2 , 60009 , 0
4 , 59652 , 0
123 , 62276 , 3
36 , 58786 , 11
4 , 59671 , 0
3 , 59761 , 0
12 , 59976 , 0
3 , 59994 , 0
128 , 56231 , 85
4 , 59782 , 0
22 , 59766 , 14
15 , 59429 , 2
56 , 60640 , 0
5 , 60004 , 1
10 , 59241 , 0
17 , 59720 , 15
21 , 58873 , 0
74 , 56236 , 1
6 , 60817 , 1
26 , 59970 , 0
8 , 59796 , 1
4 , 58979 , 0
31 , 60350 , 0
25 , 58264 , 4
5 , 60176 , 2
5 , 60006 , 0
91 , 59808 , 91
10 , 59958 , 4
145 , 60657 , 134
88 , 58928 , 1
26 , 61051 , 1
14 , 59407 , 4
48 , 60464 , 7
62 , 59680 , 8
12 , 59209 , 0
9 , 59231 , 0
14 , 59392 , 0
125 , 57526 , 0
8 , 59813 , 0
3 , 59670 , 0
2 , 60009 , 0
99 , 55830 , 2
148 , 57151 , 27
331 , 53410 , 14
51 , 58343 , 7
6 , 59558 , 1
29 , 57493 , 8
116 , 61788 , 2
5 , 59774 , 1
72 , 59089 , 2
5 , 59754 , 0
4 , 59435 , 0
45 , 60172 , 0
549 , 51949 , 72
69 , 59108 , 0
58 , 59876 , 52
6 , 59752 , 1
186 , 60257 , 126
9 , 60170 , 3
40 , 59175 , 0
4 , 59514 , 1
13 , 58905 , 2
171 , 61202 , 15
11 , 60177 , 4
3 , 59473 , 1
236 , 58827 , 216
119 , 58378 , 2
5 , 59675 , 3
11 , 59019 , 0
4 , 59864 , 0
44 , 57822 , 4
10 , 59245 , 2
3 , 60008 , 0
51 , 61735 , 0
15 , 59155 , 1
14 , 59675 , 0
7 , 59093 , 0
44 , 56523 , 3
7 , 59603 , 1
13 , 59278 , 1
77 , 57052 , 10
37 , 59792 , 1
14 , 58832 , 0
71 , 58747 , 0
76 , 60902 , 8
97 , 53694 , 6
104 , 56138 , 1
4 , 59656 , 0
6 , 59830 , 1
30 , 57982 , 0
46 , 58616 , 2
27 , 58764 , 0
87 , 58607 , 62
52 , 57861 , 0
12 , 59645 , 0
17 , 60199 , 4
83 , 62578 , 0
11 , 60139 , 0
4 , 59776 , 0
11 , 61490 , 0
14 , 57601 , 1
7 , 59714 , 1
9 , 59668 , 0
20 , 58866 , 0
765 , 64349 , 1
152 , 55489 , 1
16 , 60253 , 1
2 , 60065 , 1
27 , 60423 , 3
84 , 56405 , 0
8 , 59433 , 3
11 , 58396 , 0
16 , 59048 , 1
15 , 59473 , 1
14 , 59590 , 12
10 , 59029 , 3
57 , 61206 , 1
4 , 60038 , 0
71 , 57118 , 21
11 , 58951 , 3
14 , 59333 , 0
6 , 59566 , 0
16 , 59156 , 0
214 , 60030 , 197
20 , 62644 , 1
3 , 59642 , 0
12 , 59894 , 1
113 , 55502 , 0
159 , 58407 , 123
16 , 59222 , 9
5 , 59563 , 0
17 , 58645 , 6
362 , 49945 , 7
6 , 59181 , 1
4 , 59772 , 0
31 , 64623 , 2
11 , 59116 , 2
12 , 59652 , 0
3 , 59850 , 1
13 , 59650 , 5
11 , 58924 , 0
5 , 59716 , 0
2 , 59744 , 0
18 , 58844 , 6
3 , 59738 , 0
2 , 59637 , 0
4 , 59886 , 0
5 , 59803 , 2
78 , 56598 , 8
118 , 64095 , 0
44 , 60503 , 0
49 , 59477 , 39
11 , 60033 , 0
9 , 59750 , 6
12 , 59547 , 8
28 , 59493 , 14
55 , 61064 , 4
2 , 59758 , 0
3 , 59699 , 0
3 , 59757 , 1
8 , 59081 , 4
6 , 59723 , 0
4 , 43679 , 1
40 , 59905 , 1
3 , 59907 , 0
76 , 54982 , 8
4 , 59747 , 0
28 , 57960 , 5
2 , 59940 , 0
14 , 59647 , 8
167 , 59889 , 145
196 , 57267 , 0
9 , 59653 , 2
14 , 59392 , 0
2 , 59730 , 0
0 , 60067 , 0
13 , 60419 , 5
18 , 60436 , 0
127 , 58848 , 18
18 , 59052 , 0
18 , 58696 , 12
22 , 60021 , 0
4 , 59625 , 1
211 , 61286 , 111
30 , 58730 , 0
9 , 58979 , 1
71 , 61668 , 4
38 , 59146 , 0
4 , 61129 , 0
26 , 60131 , 2
27 , 59537 , 18
5 , 59434 , 0
154 , 57501 , 95
362 , 55573 , 247
118 , 59209 , 112
12 , 59589 , 3
29 , 59668 , 1
15 , 59862 , 2
14 , 58868 , 4
8 , 59664 , 2
26 , 60120 , 22
4 , 59963 , 0
19 , 60249 , 1
11 , 59370 , 1
61 , 58011 , 8
13 , 60650 , 1
12 , 59625 , 2
44 , 59914 , 5
75 , 57821 , 4
6 , 60436 , 0
12 , 59396 , 6
1 , 59964 , 0
2 , 59768 , 0
23 , 59227 , 12
5 , 59472 , 0
40 , 58718 , 2
463 , 64882 , 6
1 , 59964 , 0
11 , 60101 , 0
14 , 59596 , 0
4 , 59648 , 1
50 , 57170 , 3
37 , 61987 , 2
18 , 59098 , 1
21 , 58247 , 0
5 , 59295 , 1
8 , 58677 , 1
19 , 59963 , 2
105 , 59118 , 94
5 , 58849 , 0
4 , 59751 , 0
210 , 56896 , 142
47 , 61202 , 3
8 , 59917 , 4
2 , 60009 , 0
26 , 58983 , 5
9 , 59783 , 6
44 , 58263 , 8
89 , 61570 , 7
2 , 59836 , 0
106 , 55128 , 6
34 , 59258 , 2
77 , 61344 , 0
128 , 56645 , 30
4 , 60065 , 1
18 , 59701 , 15
54 , 59743 , 16
10 , 59787 , 5
35 , 59809 , 15
4 , 59798 , 1
53 , 55531 , 18
8 , 60237 , 0
5 , 59933 , 1
102 , 57341 , 15
23 , 59011 , 0
1 , 59964 , 0
24 , 55394 , 0
38 , 65617 , 2
33 , 59364 , 0
31 , 59113 , 11
3 , 59734 , 1
11 , 59039 , 1
3 , 59962 , 2
9 , 59452 , 0
8 , 60134 , 0
3 , 59617 , 1
33 , 58899 , 3
3 , 59664 , 1
75 , 58109 , 25
3 , 58900 , 0
16 , 59288 , 1
31 , 59135 , 1
35 , 60611 , 2
7 , 59635 , 2
130 , 56761 , 15
29 , 60115 , 1
10 , 59430 , 1
17 , 60102 , 5
4 , 60015 , 0
7 , 59852 , 0
6 , 59838 , 4
383 , 53616 , 242
36 , 63051 , 1
2 , 60009 , 0
61 , 58271 , 47
11 , 60145 , 2
171 , 59033 , 145
398 , 55071 , 83
897 , 59112 , 884
15 , 59122 , 9
50 , 57939 , 11
12 , 59215 , 1
16 , 59280 , 4
33 , 58762 , 0
41 , 58348 , 1
8 , 59763 , 1
22 , 58213 , 0
153 , 59078 , 137
45 , 61342 , 0
36 , 57360 , 7
2 , 59773 , 0
7 , 59585 , 3
35 , 57809 , 6
12 , 58708 , 5
204 , 51178 , 26
18 , 59778 , 5
8 , 59492 , 3
4 , 59516 , 0
7 , 59694 , 1
131 , 63433 , 8
65 , 59618 , 3
94 , 57593 , 5
3 , 60183 , 0
17 , 58883 , 8
35 , 58239 , 0
184 , 59249 , 109
2 , 59913 , 0
10 , 58857 , 7
407 , 24790 , 13
87 , 56485 , 10
90 , 57937 , 39
7 , 59518 , 2
0 , 60067 , 0
4 , 59576 , 0
85 , 73488 , 15
23 , 58431 , 0
8 , 59688 , 0
3 , 59820 , 0
117 , 54503 , 61
2 , 59605 , 0
3 , 59711 , 0
31 , 60910 , 5
18 , 59303 , 4
7 , 60122 , 0
4 , 59845 , 0
2 , 59778 , 0
5 , 60060 , 0
22 , 59537 , 1
4 , 59092 , 0
174 , 64163 , 101
948 , 38870 , 689
26 , 59589 , 3
7 , 59488 , 0
76 , 58446 , 16
24 , 61926 , 0
109 , 57617 , 0
24 , 58527 , 0
13 , 59869 , 5
49 , 59205 , 1
129 , 58084 , 4
0 , 60067 , 0
41 , 62002 , 0
8 , 59501 , 5
6 , 59125 , 0
37 , 58976 , 1
21 , 59151 , 0
22 , 59877 , 21
107 , 59359 , 44
57 , 61783 , 9
382 , 57502 , 280
55 , 60335 , 5
4 , 59833 , 1
112 , 61287 , 2
10 , 59489 , 0
3 , 59341 , 0
3 , 60238 , 0
2 , 60009 , 0
8 , 60233 , 1
70 , 59483 , 3
7 , 59825 , 0
87 , 57963 , 12
13 , 59183 , 1
23 , 58817 , 7
29 , 59067 , 0
5 , 60111 , 1
5 , 59857 , 0
31 , 57906 , 0
24 , 59032 , 4
218 , 56952 , 12
18 , 59448 , 0
6 , 59244 , 1
19 , 60499 , 3
194 , 49615 , 0
33 , 58474 , 6
45 , 59815 , 43
211 , 65842 , 9
4 , 59511 , 0
19 , 59529 , 15
2 , 59808 , 0
11 , 60253 , 1
66 , 60906 , 5
76 , 60470 , 1
9 , 60243 , 4
15 , 58540 , 0
42 , 60268 , 0
47 , 57791 , 3
39 , 69258 , 0
491 , 62533 , 22
19 , 58668 , 0
26 , 61096 , 4
183 , 62407 , 117
4 , 59922 , 0
0 , 60067 , 0
9 , 60200 , 4
21 , 58142 , 7
2 , 60179 , 0
5 , 60069 , 0
3 , 59527 , 0
10 , 59014 , 0
38 , 57456 , 0
26 , 60847 , 6
7 , 60729 , 2
19 , 59758 , 16
7 , 59345 , 0
4 , 59881 , 0
73 , 61229 , 5
28 , 59743 , 0
93 , 58030 , 2
186 , 56736 , 173
722 , 71594 , 194
3 , 59474 , 0
42 , 59985 , 6
66 , 55500 , 7
85 , 61287 , 4
20 , 60468 , 0
28 , 58519 , 1
3 , 59738 , 0
3 , 59730 , 0
15 , 58060 , 3
110 , 58859 , 87
49 , 56509 , 10
6 , 59436 , 0
6 , 59480 , 0
6 , 59640 , 0
11 , 59347 , 3
14 , 58851 , 0
69 , 56560 , 3
109 , 59900 , 0
20 , 61051 , 2
2 , 60143 , 0
25 , 60510 , 19
25 , 58610 , 5
8 , 59433 , 0
147 , 71969 , 5
16 , 59836 , 14
79 , 59783 , 1
14 , 59004 , 0
138 , 12111 , 1
20 , 59290 , 2
68 , 57785 , 4
10 , 59515 , 0
52 , 57943 , 9
4 , 59628 , 0
40 , 60158 , 0
18 , 59349 , 12
35 , 58367 , 10
193 , 65926 , 0
2 , 60009 , 0
49 , 58543 , 10
509 , 49863 , 6
19 , 60315 , 1
16 , 59707 , 0
86 , 56725 , 0
52 , 59727 , 3
635 , 72316 , 3
6 , 59589 , 0
189 , 59436 , 167
33 , 58511 , 0
3 , 59776 , 0
10 , 59499 , 0
8 , 61244 , 1
22 , 59803 , 18
3 , 59836 , 0
12 , 59809 , 8
11 , 59987 , 6
29 , 59685 , 9
36 , 58514 , 2
22 , 58912 , 3
72 , 59960 , 0
37 , 58749 , 0
4 , 59693 , 0
6 , 59666 , 0
39 , 56756 , 1
10 , 59675 , 2
45 , 59504 , 0
3 , 60196 , 0
20 , 60271 , 0
1 , 60066 , 0
7 , 59593 , 0
37 , 59216 , 11
26 , 59151 , 4
33 , 61153 , 5
29 , 59943 , 24
10 , 59360 , 0
5 , 59832 , 1
68 , 57873 , 4
405 , 65649 , 29
7 , 59530 , 3
18 , 59307 , 4
13 , 59339 , 4
36 , 59140 , 8
5 , 60291 , 0
2 , 59758 , 0
25 , 58916 , 5
8 , 59759 , 8
43 , 58026 , 0
9 , 59483 , 6
13 , 60834 , 0
6 , 59816 , 1
48 , 58370 , 2
3 , 59683 , 1
5 , 59848 , 3
20 , 58615 , 2
7 , 58881 , 0
2 , 59764 , 0
63 , 58320 , 42
87 , 61789 , 10
8 , 60382 , 0
115 , 60549 , 94
14 , 59516 , 0
36 , 59237 , 2
1 , 60066 , 0
6 , 59417 , 3
2 , 59862 , 0
3 , 59728 , 0
4 , 60148 , 0
54 , 57930 , 1
14 , 60029 , 0
12 , 59546 , 4
9 , 60053 , 0
83 , 60229 , 74
218 , 59499 , 212
34 , 59231 , 0
78 , 59454 , 72
131 , 66025 , 6
3 , 59736 , 1
34 , 61526 , 1
68 , 60875 , 3
5 , 59559 , 0
10 , 58925 , 0
36 , 59795 , 28
13 , 55057 , 0
83 , 54801 , 0
7 , 59837 , 5
10 , 59292 , 2
47 , 11872 , 0
51 , 58657 , 26
2 , 59764 , 0
2 , 59856 , 0
6 , 59373 , 0
12 , 59744 , 0
31 , 60618 , 17
63 , 58378 , 11
61 , 58142 , 27
7 , 59863 , 0
20 , 58285 , 2
2 , 59654 , 0
49 , 57685 , 8
11 , 58963 , 0
94 , 58122 , 65
7 , 58846 , 0
4 , 59955 , 2
42 , 55794 , 11
14 , 57664 , 0
20 , 59527 , 0
32 , 59983 , 0
19 , 58779 , 2
1 , 59964 , 0
12 , 59905 , 0
17 , 61210 , 1
14 , 59987 , 6
8 , 59292 , 0
71 , 58059 , 9
31 , 59640 , 8
